[194, 181] ---> [206, 188]
[198, 156] ---> [201, 175]
[198, 157] ---> [201, 178]
[198, 159] ---> [201, 181]
[198, 160] ---> [198, 161]
[198, 162] ---> [198, 163]
[198, 164] ---> [198, 165]
[198, 166] ---> [202, 128]
[198, 167] ---> [198, 168]
[198, 169] ---> [202, 131]
[198, 172] ---> [198, 173]
[198, 174] ---> [202, 136]
[198, 175] ---> [198, 176]
[198, 177] ---> [202, 138]
[198, 178] ---> [202, 139]
[198, 179] ---> [198, 180]
[198, 181] ---> [198, 182]
[198, 183] ---> [202, 146]
[198, 184] ---> [198, 185]
[198, 188] ---> [198, 189]
[199, 132] ---> [199, 134]
[199, 133] ---> [199, 134]
[199, 135] ---> [199, 137]
[199, 136] ---> [199, 137]
[199, 138] ---> [199, 140]
[199, 139] ---> [199, 140]
[199, 141] ---> [199, 142]
[199, 143] ---> [199, 144]
[199, 145] ---> [199, 146]
[199, 147] ---> [199, 148]
[199, 149] ---> [199, 150]
[199, 151] ---> [199, 152]
[199, 153] ---> [199, 154]
[199, 155] ---> [199, 156]
[199, 158] ---> [199, 159]
[199, 160] ---> [199, 161]
[199, 162] ---> [199, 163]
[199, 164] ---> [199, 165]
[199, 166] ---> [199, 167]
[199, 168] ---> [199, 169]
[199, 170] ---> [199, 171]
[199, 172] ---> [199, 173]
[199, 174] ---> [199, 175]
[199, 176] ---> [106, 204, 140]
[199, 177] ---> [199, 179]
[199, 178] ---> [199, 179]
[199, 180] ---> [199, 181]
[199, 182] ---> [198, 149]
[199, 183] ---> [198, 191]
[199, 184] ---> [199, 185]
[199, 186] ---> [199, 187]
[199, 188] ---> [199, 189]
[199, 190] ---> [199, 191]
[200, 128] ---> [200, 129]
[200, 130] ---> [200, 131]
[200, 132] ---> [200, 133]
[200, 134] ---> [200, 135]
[200, 136] ---> [200, 137]
[200, 138] ---> [200, 139]
[200, 140] ---> [200, 141]
[200, 142] ---> [200, 143]
[200, 144] ---> [200, 145]
[200, 146] ---> [200, 147]
[200, 148] ---> [200, 149]
[200, 150] ---> [200, 151]
[200, 152] ---> [200, 153]
[200, 154] ---> [200, 155]
[200, 156] ---> [200, 157]
[200, 158] ---> [200, 159]
[200, 160] ---> [198, 158]
[200, 162] ---> [200, 163]
[200, 164] ---> [200, 165]
[200, 166] ---> [200, 167]
[200, 168] ---> [200, 169]
[200, 170] ---> [200, 171]
[200, 172] ---> [200, 173]
[200, 174] ---> [200, 175]
[200, 176] ---> [200, 177]
[200, 178] ---> [200, 179]
[205, 133] ---> [206, 185]
[205, 186] ---> [32, 206, 185]
[206, 134] ---> [206, 172]
[206, 136] ---> [206, 173]
[206, 137] ---> [206, 174]
[206, 138] ---> [206, 175]
[206, 140] ---> [207, 140]
[206, 142] ---> [207, 141]
[206, 143] ---> [207, 142]
[206, 144] ---> [206, 185, 204, 136, 204, 129]
[206, 145] ---> [206, 177]
[206, 146] ---> [206, 178]
[206, 147] ---> [206, 179]
[206, 148] ---> [206, 180]
[206, 149] ---> [206, 181]
[206, 150] ---> [206, 182]
[206, 151] ---> [206, 183]
[206, 152] ---> [206, 184]
[206, 153] ---> [206, 185]
[206, 154] ---> [206, 186]
[206, 155] ---> [206, 187]
[206, 156] ---> [206, 188]
[206, 157] ---> [206, 189]
[206, 158] ---> [206, 190]
[206, 159] ---> [206, 191]
[206, 160] ---> [207, 128]
[206, 161] ---> [207, 129]
[206, 163] ---> [207, 131]
[206, 164] ---> [207, 132]
[206, 165] ---> [207, 133]
[206, 166] ---> [207, 134]
[206, 167] ---> [207, 135]
[206, 168] ---> [207, 136]
[206, 169] ---> [207, 137]
[206, 170] ---> [207, 138]
[206, 171] ---> [207, 139]
[206, 176] ---> [207, 133, 204, 136, 204, 129]
[207, 130] ---> [207, 131]
[207, 144] ---> [206, 178]
[207, 145] ---> [206, 184]
[207, 146] ---> [207, 133]
[207, 147] ---> [207, 141]
[207, 148] ---> [207, 139]
[207, 149] ---> [207, 134]
[207, 150] ---> [207, 128]
[207, 152] ---> [207, 153]
[207, 154] ---> [207, 155]
[207, 156] ---> [207, 157]
[207, 158] ---> [207, 159]
[207, 160] ---> [207, 161]
[207, 162] ---> [207, 163]
[207, 164] ---> [207, 165]
[207, 166] ---> [207, 167]
[207, 168] ---> [207, 169]
[207, 170] ---> [207, 171]
[207, 172] ---> [207, 173]
[207, 174] ---> [207, 175]
[207, 176] ---> [206, 186]
[207, 177] ---> [207, 129]
[207, 178] ---> [207, 131]
[207, 180] ---> [206, 184]
[207, 181] ---> [206, 181]
[208, 128] ---> [209, 144]
[208, 129] ---> [209, 145]
[208, 130] ---> [209, 146]
[208, 131] ---> [209, 147]
[208, 132] ---> [209, 148]
[208, 133] ---> [209, 149]
[208, 134] ---> [209, 150]
[208, 135] ---> [209, 151]
[208, 136] ---> [209, 152]
[208, 137] ---> [209, 153]
[208, 138] ---> [209, 154]
[208, 139] ---> [209, 155]
[208, 140] ---> [209, 156]
[208, 141] ---> [209, 157]
[208, 142] ---> [209, 158]
[208, 143] ---> [209, 159]
[208, 144] ---> [208, 176]
[208, 145] ---> [208, 177]
[208, 146] ---> [208, 178]
[208, 147] ---> [208, 179]
[208, 148] ---> [208, 180]
[208, 149] ---> [208, 181]
[208, 150] ---> [208, 182]
[208, 151] ---> [208, 183]
[208, 152] ---> [208, 184]
[208, 153] ---> [208, 185]
[208, 154] ---> [208, 186]
[208, 155] ---> [208, 187]
[208, 156] ---> [208, 188]
[208, 157] ---> [208, 189]
[208, 158] ---> [208, 190]
[208, 159] ---> [208, 191]
[208, 160] ---> [209, 128]
[208, 161] ---> [209, 129]
[208, 162] ---> [209, 130]
[208, 163] ---> [209, 131]
[208, 164] ---> [209, 132]
[208, 165] ---> [209, 133]
[208, 166] ---> [209, 134]
[208, 167] ---> [209, 135]
[208, 168] ---> [209, 136]
[208, 169] ---> [209, 137]
[208, 170] ---> [209, 138]
[208, 171] ---> [209, 139]
[208, 172] ---> [209, 140]
[208, 173] ---> [209, 141]
[208, 174] ---> [209, 142]
[208, 175] ---> [209, 143]
[209, 160] ---> [209, 161]
[209, 162] ---> [209, 163]
[209, 164] ---> [209, 165]
[209, 166] ---> [209, 167]
[209, 168] ---> [209, 169]
[209, 170] ---> [209, 171]
[209, 172] ---> [209, 173]
[209, 174] ---> [209, 175]
[209, 176] ---> [209, 177]
[209, 178] ---> [209, 179]
[209, 180] ---> [209, 181]
[209, 182] ---> [209, 183]
[209, 184] ---> [209, 185]
[209, 186] ---> [209, 187]
[209, 188] ---> [209, 189]
[209, 190] ---> [209, 191]
[210, 128] ---> [210, 129]
[210, 138] ---> [210, 139]
[210, 140] ---> [210, 141]
[210, 142] ---> [210, 143]
[210, 144] ---> [210, 145]
[210, 146] ---> [210, 147]
[210, 148] ---> [210, 149]
[210, 150] ---> [210, 151]
[210, 152] ---> [210, 153]
[210, 154] ---> [210, 155]
[210, 156] ---> [210, 157]
[210, 158] ---> [210, 159]
[210, 160] ---> [210, 161]
[210, 162] ---> [210, 163]
[210, 164] ---> [210, 165]
[210, 166] ---> [210, 167]
[210, 168] ---> [210, 169]
[210, 170] ---> [210, 171]
[210, 172] ---> [210, 173]
[210, 174] ---> [210, 175]
[210, 176] ---> [210, 177]
[210, 178] ---> [210, 179]
[210, 180] ---> [210, 181]
[210, 182] ---> [210, 183]
[210, 184] ---> [210, 185]
[210, 186] ---> [210, 187]
[210, 188] ---> [210, 189]
[210, 190] ---> [210, 191]
[211, 129] ---> [211, 130]
[211, 131] ---> [211, 132]
[211, 133] ---> [211, 134]
[211, 135] ---> [211, 136]
[211, 137] ---> [211, 138]
[211, 139] ---> [211, 140]
[211, 141] ---> [211, 142]
[211, 144] ---> [211, 145]
[211, 146] ---> [211, 147]
[211, 148] ---> [211, 149]
[211, 150] ---> [211, 151]
[211, 152] ---> [211, 153]
[211, 154] ---> [211, 155]
[211, 156] ---> [211, 157]
[211, 158] ---> [211, 159]
[211, 160] ---> [211, 161]
[211, 162] ---> [211, 163]
[211, 164] ---> [211, 165]
[211, 166] ---> [211, 167]
[211, 168] ---> [211, 169]
[211, 170] ---> [211, 171]
[211, 172] ---> [211, 173]
[211, 174] ---> [211, 175]
[211, 176] ---> [211, 177]
[211, 178] ---> [211, 179]
[211, 180] ---> [211, 181]
[211, 184] ---> [211, 185]
[212, 128] ---> [212, 129]
[212, 130] ---> [212, 131]
[212, 132] ---> [212, 133]
[212, 134] ---> [212, 135]
[212, 136] ---> [212, 137]
[212, 138] ---> [212, 139]
[212, 140] ---> [212, 141]
[212, 142] ---> [212, 143]
[212, 177] ---> [213, 161]
[212, 178] ---> [213, 162]
[212, 179] ---> [213, 163]
[212, 180] ---> [213, 164]
[212, 181] ---> [213, 165]
[212, 182] ---> [213, 166]
[212, 183] ---> [213, 167]
[212, 184] ---> [213, 168]
[212, 185] ---> [213, 169]
[212, 186] ---> [213, 170]
[212, 187] ---> [213, 171]
[212, 188] ---> [213, 172]
[212, 189] ---> [213, 173]
[212, 190] ---> [213, 174]
[212, 191] ---> [213, 175]
[213, 128] ---> [213, 176]
[213, 129] ---> [213, 177]
[213, 130] ---> [213, 178]
[213, 131] ---> [213, 179]
[213, 132] ---> [213, 180]
[213, 133] ---> [213, 181]
[213, 134] ---> [213, 182]
[213, 135] ---> [213, 183]
[213, 136] ---> [213, 184]
[213, 137] ---> [213, 185]
[213, 138] ---> [213, 186]
[213, 139] ---> [213, 187]
[213, 140] ---> [213, 188]
[213, 141] ---> [213, 189]
[213, 142] ---> [213, 190]
[213, 143] ---> [213, 191]
[213, 144] ---> [214, 128]
[213, 145] ---> [214, 129]
[213, 146] ---> [214, 130]
[213, 147] ---> [214, 131]
[213, 148] ---> [214, 132]
[213, 149] ---> [214, 133]
[213, 150] ---> [214, 134]
[214, 135] ---> [213, 165, 214, 130]
