[225, 184, 128] ---> [225, 184, 129]
[225, 188, 139] ---> [225, 188, 131]
[225, 188, 140] ---> [225, 188, 132]
[225, 188, 141] ---> [225, 188, 133]
[225, 188, 142] ---> [225, 188, 134]
[225, 188, 143] ---> [225, 188, 135]
[225, 188, 152] ---> [225, 188, 144]
[225, 188, 153] ---> [225, 188, 145]
[225, 188, 154] ---> [225, 188, 146]
[225, 188, 155] ---> [225, 188, 147]
[225, 188, 156] ---> [225, 188, 148]
[225, 188, 157] ---> [225, 188, 149]
[225, 188, 168] ---> [225, 188, 160]
[225, 188, 169] ---> [225, 188, 161]
[225, 188, 170] ---> [225, 188, 162]
[225, 188, 171] ---> [225, 188, 163]
[225, 188, 172] ---> [225, 188, 164]
[225, 188, 173] ---> [225, 188, 165]
[225, 188, 174] ---> [225, 188, 166]
[225, 188, 175] ---> [225, 188, 167]
[225, 188, 184] ---> [225, 188, 176]
[225, 188, 185] ---> [225, 188, 177]
[225, 188, 186] ---> [225, 188, 178]
[225, 188, 187] ---> [225, 188, 179]
[225, 188, 188] ---> [225, 188, 180]
[225, 188, 189] ---> [225, 188, 181]
[225, 188, 190] ---> [225, 188, 182]
[225, 188, 191] ---> [225, 188, 183]
[225, 189, 136] ---> [225, 189, 128]
[225, 189, 137] ---> [225, 189, 129]
[225, 189, 138] ---> [225, 189, 130]
[225, 189, 139] ---> [225, 189, 131]
[225, 189, 140] ---> [225, 189, 132]
[225, 189, 141] ---> [225, 189, 133]
[225, 189, 144] ---> [207, 133, 204, 147]
[225, 189, 146] ---> [207, 133, 204, 147, 204, 128]
[225, 189, 148] ---> [207, 133, 204, 147, 204, 129]
[225, 189, 150] ---> [207, 133, 204, 147, 205, 130]
[225, 189, 153] ---> [225, 189, 145]
[225, 189, 155] ---> [225, 189, 147]
[225, 189, 157] ---> [225, 189, 149]
[225, 189, 159] ---> [225, 189, 151]
[225, 189, 168] ---> [225, 189, 160]
[225, 189, 169] ---> [225, 189, 161]
[225, 189, 170] ---> [225, 189, 162]
[225, 189, 171] ---> [225, 189, 163]
[225, 189, 172] ---> [225, 189, 164]
[225, 189, 173] ---> [225, 189, 165]
[225, 189, 174] ---> [225, 189, 166]
[225, 189, 175] ---> [225, 189, 167]
[225, 190, 128] ---> [225, 188, 128, 206, 185]
[225, 190, 129] ---> [225, 188, 129, 206, 185]
[225, 190, 130] ---> [225, 188, 130, 206, 185]
[225, 190, 131] ---> [225, 188, 131, 206, 185]
[225, 190, 132] ---> [225, 188, 132, 206, 185]
[225, 190, 133] ---> [225, 188, 133, 206, 185]
[225, 190, 134] ---> [225, 188, 134, 206, 185]
[225, 190, 135] ---> [225, 188, 135, 206, 185]
[225, 190, 136] ---> [225, 188, 128, 206, 185]
[225, 190, 137] ---> [225, 188, 129, 206, 185]
[225, 190, 138] ---> [225, 188, 130, 206, 185]
[225, 190, 139] ---> [225, 188, 131, 206, 185]
[225, 190, 140] ---> [225, 188, 132, 206, 185]
[225, 190, 141] ---> [225, 188, 133, 206, 185]
[225, 190, 142] ---> [225, 188, 134, 206, 185]
[225, 190, 143] ---> [225, 188, 135, 206, 185]
[225, 190, 144] ---> [225, 188, 160, 206, 185]
[225, 190, 145] ---> [225, 188, 161, 206, 185]
[225, 190, 146] ---> [225, 188, 162, 206, 185]
[225, 190, 147] ---> [225, 188, 163, 206, 185]
[225, 190, 148] ---> [225, 188, 164, 206, 185]
[225, 190, 149] ---> [225, 188, 165, 206, 185]
[225, 190, 150] ---> [225, 188, 166, 206, 185]
[225, 190, 151] ---> [225, 188, 167, 206, 185]
[225, 190, 152] ---> [225, 188, 160, 206, 185]
[225, 190, 153] ---> [225, 188, 161, 206, 185]
[225, 190, 154] ---> [225, 188, 162, 206, 185]
[225, 190, 155] ---> [225, 188, 163, 206, 185]
[225, 190, 156] ---> [225, 188, 164, 206, 185]
[225, 190, 157] ---> [225, 188, 165, 206, 185]
[225, 190, 158] ---> [225, 188, 166, 206, 185]
[225, 190, 159] ---> [225, 188, 167, 206, 185]
[225, 190, 160] ---> [225, 189, 160, 206, 185]
[225, 190, 161] ---> [225, 189, 161, 206, 185]
[225, 190, 162] ---> [225, 189, 162, 206, 185]
[225, 190, 163] ---> [225, 189, 163, 206, 185]
[225, 190, 164] ---> [225, 189, 164, 206, 185]
[225, 190, 165] ---> [225, 189, 165, 206, 185]
[225, 190, 166] ---> [225, 189, 166, 206, 185]
[225, 190, 167] ---> [225, 189, 167, 206, 185]
[225, 190, 168] ---> [225, 189, 160, 206, 185]
[225, 190, 169] ---> [225, 189, 161, 206, 185]
[225, 190, 170] ---> [225, 189, 162, 206, 185]
[225, 190, 171] ---> [225, 189, 163, 206, 185]
[225, 190, 172] ---> [225, 189, 164, 206, 185]
[225, 190, 173] ---> [225, 189, 165, 206, 185]
[225, 190, 174] ---> [225, 189, 166, 206, 185]
[225, 190, 175] ---> [225, 189, 167, 206, 185]
[225, 190, 178] ---> [225, 189, 176, 206, 185]
[225, 190, 179] ---> [206, 177, 206, 185]
[225, 190, 180] ---> [206, 172, 206, 185]
[225, 190, 182] ---> [206, 177, 205, 130]
[225, 190, 183] ---> [206, 177, 205, 130, 206, 185]
[225, 190, 184] ---> [225, 190, 176]
[225, 190, 185] ---> [225, 190, 177]
[225, 190, 186] ---> [225, 189, 176]
[225, 190, 187] ---> [225, 189, 177]
[225, 190, 188] ---> [206, 177, 206, 185]
[225, 190, 190] ---> [206, 185]
[225, 191, 130] ---> [225, 189, 180, 206, 185]
[225, 191, 131] ---> [206, 183, 206, 185]
[225, 191, 132] ---> [206, 174, 206, 185]
[225, 191, 134] ---> [206, 183, 205, 130]
[225, 191, 135] ---> [206, 183, 205, 130, 206, 185]
[225, 191, 136] ---> [225, 189, 178]
[225, 191, 137] ---> [225, 189, 179]
[225, 191, 138] ---> [225, 189, 180]
[225, 191, 139] ---> [225, 189, 181]
[225, 191, 140] ---> [206, 183, 206, 185]
[225, 191, 146] ---> [206, 185, 204, 136, 204, 128]
[225, 191, 147] ---> [206, 185, 204, 136, 204, 129]
[225, 191, 150] ---> [206, 185, 205, 130]
[225, 191, 151] ---> [206, 185, 204, 136, 205, 130]
[225, 191, 152] ---> [225, 191, 144]
[225, 191, 153] ---> [225, 191, 145]
[225, 191, 154] ---> [225, 189, 182]
[225, 191, 155] ---> [225, 189, 183]
[225, 191, 162] ---> [207, 133, 204, 136, 204, 128]
[225, 191, 163] ---> [207, 133, 204, 136, 204, 129]
[225, 191, 164] ---> [207, 129, 204, 147]
[225, 191, 166] ---> [207, 133, 205, 130]
[225, 191, 167] ---> [207, 133, 204, 136, 205, 130]
[225, 191, 168] ---> [225, 191, 160]
[225, 191, 169] ---> [225, 191, 161]
[225, 191, 170] ---> [225, 189, 186]
[225, 191, 171] ---> [225, 189, 187]
[225, 191, 172] ---> [225, 191, 165]
[225, 191, 178] ---> [225, 189, 188, 206, 185]
[225, 191, 179] ---> [207, 137, 206, 185]
[225, 191, 180] ---> [207, 142, 206, 185]
[225, 191, 182] ---> [207, 137, 205, 130]
[225, 191, 183] ---> [207, 137, 205, 130, 206, 185]
[225, 191, 184] ---> [225, 189, 184]
[225, 191, 185] ---> [225, 189, 185]
[225, 191, 186] ---> [225, 189, 188]
[225, 191, 187] ---> [225, 189, 189]
[225, 191, 188] ---> [207, 137, 206, 185]
[226, 130, 168] ---> [114, 115]
[226, 132, 130] ---> [99]
[226, 132, 131] ---> [194, 176, 99]
[226, 132, 135] ---> [201, 155]
[226, 132, 137] ---> [194, 176, 102]
[226, 132, 139] ---> [104]
[226, 132, 140] ---> [104]
[226, 132, 141] ---> [104]
[226, 132, 144] ---> [105]
[226, 132, 145] ---> [105]
[226, 132, 146] ---> [108]
[226, 132, 149] ---> [110]
[226, 132, 150] ---> [110, 111]
[226, 132, 153] ---> [112]
[226, 132, 154] ---> [113]
[226, 132, 155] ---> [114]
[226, 132, 156] ---> [114]
[226, 132, 157] ---> [114]
[226, 132, 160] ---> [115, 109]
[226, 132, 161] ---> [116, 101, 108]
[226, 132, 162] ---> [116, 109]
[226, 132, 164] ---> [122]
[226, 132, 166] ---> [207, 137]
[226, 132, 168] ---> [122]
[226, 132, 170] ---> [107]
[226, 132, 171] ---> [195, 165]
[226, 132, 172] ---> [98]
[226, 132, 173] ---> [99]
[226, 132, 176] ---> [101]
[226, 132, 177] ---> [102]
[226, 132, 179] ---> [109]
[226, 132, 190] ---> [206, 179]
[226, 132, 191] ---> [207, 128]
[226, 133, 133] ---> [100]
[226, 133, 160] ---> [226, 133, 176]
[226, 133, 161] ---> [226, 133, 177]
[226, 133, 162] ---> [226, 133, 178]
[226, 133, 163] ---> [226, 133, 179]
[226, 133, 164] ---> [226, 133, 180]
[226, 133, 165] ---> [226, 133, 181]
[226, 133, 166] ---> [226, 133, 182]
[226, 133, 167] ---> [226, 133, 183]
[226, 133, 168] ---> [226, 133, 184]
[226, 133, 169] ---> [226, 133, 185]
[226, 133, 170] ---> [226, 133, 186]
[226, 133, 171] ---> [226, 133, 187]
[226, 133, 172] ---> [226, 133, 188]
[226, 133, 173] ---> [226, 133, 189]
[226, 133, 174] ---> [226, 133, 190]
[226, 133, 175] ---> [226, 133, 191]
[226, 146, 182] ---> [226, 147, 144]
[226, 146, 183] ---> [226, 147, 145]
[226, 146, 184] ---> [226, 147, 146]
[226, 146, 185] ---> [226, 147, 147]
[226, 146, 186] ---> [226, 147, 148]
[226, 146, 187] ---> [226, 147, 149]
[226, 146, 188] ---> [226, 147, 150]
[226, 146, 189] ---> [226, 147, 151]
[226, 146, 190] ---> [226, 147, 152]
[226, 146, 191] ---> [226, 147, 153]
[226, 147, 128] ---> [226, 147, 154]
[226, 147, 129] ---> [226, 147, 155]
[226, 147, 130] ---> [226, 147, 156]
[226, 147, 131] ---> [226, 147, 157]
[226, 147, 132] ---> [226, 147, 158]
[226, 147, 133] ---> [226, 147, 159]
[226, 147, 134] ---> [226, 147, 160]
[226, 147, 135] ---> [226, 147, 161]
[226, 147, 136] ---> [226, 147, 162]
[226, 147, 137] ---> [226, 147, 163]
[226, 147, 138] ---> [226, 147, 164]
[226, 147, 139] ---> [226, 147, 165]
[226, 147, 140] ---> [226, 147, 166]
[226, 147, 141] ---> [226, 147, 167]
[226, 147, 142] ---> [226, 147, 168]
[226, 147, 143] ---> [226, 147, 169]
[227, 141, 177] ---> [104, 112, 97]
[227, 141, 179] ---> [97, 117]
[227, 141, 181] ---> [111, 118]
[227, 142, 128] ---> [112, 97]
[227, 142, 129] ---> [110, 97]
[227, 142, 130] ---> [206, 188, 97]
[227, 142, 131] ---> [109, 97]
[227, 142, 132] ---> [107, 97]
[227, 142, 133] ---> [107, 98]
[227, 142, 134] ---> [109, 98]
[227, 142, 135] ---> [103, 98]
[227, 142, 138] ---> [112, 102]
[227, 142, 139] ---> [110, 102]
[227, 142, 140] ---> [206, 188, 102]
[227, 142, 144] ---> [104, 122]
[227, 142, 145] ---> [107, 104, 122]
[227, 142, 146] ---> [109, 104, 122]
[227, 142, 147] ---> [103, 104, 122]
[227, 142, 148] ---> [116, 104, 122]
[227, 142, 169] ---> [112, 97]
[227, 142, 170] ---> [107, 112, 97]
[227, 142, 171] ---> [109, 112, 97]
[227, 142, 172] ---> [103, 112, 97]
[227, 142, 180] ---> [112, 118]
[227, 142, 181] ---> [110, 118]
[227, 142, 182] ---> [206, 188, 118]
[227, 142, 183] ---> [109, 118]
[227, 142, 184] ---> [107, 118]
[227, 142, 185] ---> [109, 118]
[227, 142, 186] ---> [112, 119]
[227, 142, 187] ---> [110, 119]
[227, 142, 188] ---> [206, 188, 119]
[227, 142, 189] ---> [109, 119]
[227, 142, 190] ---> [107, 119]
[227, 142, 191] ---> [109, 119]
[227, 143, 128] ---> [107, 207, 137]
[227, 143, 129] ---> [109, 207, 137]
[227, 143, 131] ---> [98, 113]
[227, 143, 134] ---> [99, 226, 136, 149, 107, 103]
[227, 143, 135] ---> [99, 111, 46]
[227, 143, 136] ---> [100, 98]
[227, 143, 137] ---> [103, 121]
[227, 143, 139] ---> [104, 112]
[227, 143, 141] ---> [107, 107]
[227, 143, 142] ---> [107, 109]
[227, 143, 151] ---> [112, 104]
[227, 143, 153] ---> [112, 112, 109]
[227, 143, 154] ---> [112, 114]
[227, 143, 156] ---> [115, 118]
[227, 143, 157] ---> [119, 98]
[239, 172, 128] ---> [102, 102]
[239, 172, 129] ---> [102, 105]
[239, 172, 130] ---> [102, 108]
[239, 172, 131] ---> [102, 102, 105]
[239, 172, 132] ---> [102, 102, 108]
[239, 172, 133] ---> [115, 116]
[239, 172, 134] ---> [115, 116]
[239, 172, 147] ---> [213, 180, 213, 182]
[239, 172, 148] ---> [213, 180, 213, 165]
[239, 172, 149] ---> [213, 180, 213, 171]
[239, 172, 150] ---> [213, 190, 213, 182]
[239, 172, 151] ---> [213, 180, 213, 173]
[239, 188, 161] ---> [239, 189, 129]
[239, 188, 162] ---> [239, 189, 130]
[239, 188, 163] ---> [239, 189, 131]
[239, 188, 164] ---> [239, 189, 132]
[239, 188, 165] ---> [239, 189, 133]
[239, 188, 166] ---> [239, 189, 134]
[239, 188, 167] ---> [239, 189, 135]
[239, 188, 168] ---> [239, 189, 136]
[239, 188, 169] ---> [239, 189, 137]
[239, 188, 170] ---> [239, 189, 138]
[239, 188, 171] ---> [239, 189, 139]
[239, 188, 172] ---> [239, 189, 140]
[239, 188, 173] ---> [239, 189, 141]
[239, 188, 174] ---> [239, 189, 142]
[239, 188, 175] ---> [239, 189, 143]
[239, 188, 176] ---> [239, 189, 144]
[239, 188, 177] ---> [239, 189, 145]
[239, 188, 178] ---> [239, 189, 146]
[239, 188, 179] ---> [239, 189, 147]
[239, 188, 180] ---> [239, 189, 148]
[239, 188, 181] ---> [239, 189, 149]
[239, 188, 182] ---> [239, 189, 150]
[239, 188, 183] ---> [239, 189, 151]
[239, 188, 184] ---> [239, 189, 152]
[239, 188, 185] ---> [239, 189, 153]
[239, 188, 186] ---> [239, 189, 154]
